benchmark,run,result
quadratic,baseline,785
quadratic,ssa,785
primes-between,baseline,574100
primes-between,ssa,574100
birthday,baseline,484
birthday,ssa,484
orders,baseline,5352
orders,ssa,5352
sum-check,baseline,5018
sum-check,ssa,5018
palindrome,baseline,298
palindrome,ssa,298
totient,baseline,253
totient,ssa,253
relative-primes,baseline,1923
relative-primes,ssa,1923
hanoi,baseline,99
hanoi,ssa,99
is-decreasing,baseline,127
is-decreasing,ssa,127
check-primes,baseline,8468
check-primes,ssa,8468
sum-sq-diff,baseline,3038
sum-sq-diff,ssa,3038
fitsinside,baseline,10
fitsinside,ssa,10
fact,baseline,229
fact,ssa,229
loopfact,baseline,116
loopfact,ssa,116
recfact,baseline,104
recfact,ssa,104
factors,baseline,72
factors,ssa,72
perfect,baseline,232
perfect,ssa,232
bitshift,baseline,167
bitshift,ssa,167
digital-root,baseline,247
digital-root,ssa,247
up-arrow,baseline,252
up-arrow,ssa,252
sum-divisors,baseline,159
sum-divisors,ssa,159
ackermann,baseline,1464231
ackermann,ssa,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,ssa,61518
dot-product,baseline,88
dot-product,ssa,88
euclid,baseline,563
euclid,ssa,563
binary-fmt,baseline,100
binary-fmt,ssa,100
lcm,baseline,2326
lcm,ssa,2326
gcd,baseline,46
gcd,ssa,46
catalan,baseline,659378
catalan,ssa,659378
armstrong,baseline,133
armstrong,ssa,133
pascals-row,baseline,146
pascals-row,ssa,146
collatz,baseline,169
collatz,ssa,169
sum-bits,baseline,73
sum-bits,ssa,73
rectangles-area-difference,baseline,14
rectangles-area-difference,ssa,14
mod_inv,baseline,558
mod_inv,ssa,558
reverse,baseline,46
reverse,ssa,46
fizz-buzz,baseline,3652
fizz-buzz,ssa,3652
bitwise-ops,baseline,1690
bitwise-ops,ssa,1690
cholesky,baseline,3761
cholesky,ssa,3761
mat-inv,baseline,1044
mat-inv,ssa,1044
dead-branch,baseline,1196
dead-branch,ssa,1196
function_call,baseline,timeout
function_call,ssa,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,ssa,142
conjugate-gradient,baseline,1999
conjugate-gradient,ssa,1999
leibniz,baseline,timeout
leibniz,ssa,timeout
n_root,baseline,733
n_root,ssa,733
newton,baseline,217
newton,ssa,217
euler,baseline,1908
euler,ssa,1908
riemann,baseline,298
riemann,ssa,298
mandelbrot,baseline,2720947
mandelbrot,ssa,2720947
norm,baseline,505
norm,ssa,505
cordic,baseline,517
cordic,ssa,517
pow,baseline,36
pow,ssa,36
sqrt,baseline,322
sqrt,ssa,322
quickselect,baseline,279
quickselect,ssa,279
sieve,baseline,3482
sieve,ssa,3482
bubblesort,baseline,253
bubblesort,ssa,253
primitive-root,baseline,11029
primitive-root,ssa,11029
adler32,baseline,6851
adler32,ssa,6851
adj2csr,baseline,56629
adj2csr,ssa,56629
csrmv,baseline,121202
csrmv,ssa,121202
major-elm,baseline,47
major-elm,ssa,47
max-subarray,baseline,193
max-subarray,ssa,193
mat-mul,baseline,1990407
mat-mul,ssa,1990407
fib,baseline,121
fib,ssa,121
vsmul,baseline,86036
vsmul,ssa,86036
quicksort-hoare,baseline,27333
quicksort-hoare,ssa,27333
quicksort,baseline,264
quicksort,ssa,264
two-sum,baseline,98
two-sum,ssa,98
eight-queens,baseline,1006454
eight-queens,ssa,1006454
binary-search,baseline,78
binary-search,ssa,78
